starttime	seconds	ctime	dtime	ttime	wait
Sun Sep 03 19:53:02 2023	1693741982	0	566	567	565
Sun Sep 03 19:53:00 2023	1693741980	0	566	567	566
Sun Sep 03 19:53:07 2023	1693741987	0	567	567	566
Sun Sep 03 19:53:02 2023	1693741982	0	567	567	565
Sun Sep 03 19:53:02 2023	1693741982	0	567	567	566
Sun Sep 03 19:53:02 2023	1693741982	0	567	567	566
Sun Sep 03 19:53:00 2023	1693741980	0	567	567	566
Sun Sep 03 19:53:04 2023	1693741984	0	567	567	567
Sun Sep 03 19:53:01 2023	1693741981	0	567	567	566
Sun Sep 03 19:53:02 2023	1693741982	0	567	568	567
Sun Sep 03 19:53:09 2023	1693741989	1	567	568	566
Sun Sep 03 19:53:06 2023	1693741986	0	567	568	566
Sun Sep 03 19:53:07 2023	1693741987	0	568	568	567
Sun Sep 03 19:53:02 2023	1693741982	0	568	568	567
Sun Sep 03 19:53:06 2023	1693741986	0	568	568	567
Sun Sep 03 19:53:07 2023	1693741987	0	568	568	567
Sun Sep 03 19:53:02 2023	1693741982	0	568	569	568
Sun Sep 03 19:53:06 2023	1693741986	0	568	569	568
Sun Sep 03 19:53:01 2023	1693741981	0	568	569	568
Sun Sep 03 19:53:06 2023	1693741986	0	569	569	568
Sun Sep 03 19:53:03 2023	1693741983	0	569	569	568
Sun Sep 03 19:53:06 2023	1693741986	0	569	569	568
Sun Sep 03 19:53:06 2023	1693741986	0	569	569	569
Sun Sep 03 19:53:00 2023	1693741980	0	569	569	569
Sun Sep 03 19:53:05 2023	1693741985	1	569	569	568
Sun Sep 03 19:53:02 2023	1693741982	0	569	569	568
Sun Sep 03 19:53:02 2023	1693741982	0	569	570	569
Sun Sep 03 19:53:08 2023	1693741988	0	569	570	568
Sun Sep 03 19:53:03 2023	1693741983	0	569	570	569
Sun Sep 03 19:53:06 2023	1693741986	0	570	570	569
Sun Sep 03 19:53:02 2023	1693741982	0	570	570	569
Sun Sep 03 19:53:06 2023	1693741986	0	570	570	569
Sun Sep 03 19:53:07 2023	1693741987	0	570	570	569
Sun Sep 03 19:53:06 2023	1693741986	0	570	570	569
Sun Sep 03 19:53:08 2023	1693741988	0	570	570	569
Sun Sep 03 19:53:06 2023	1693741986	0	570	570	569
Sun Sep 03 19:53:02 2023	1693741982	0	570	571	570
Sun Sep 03 19:53:00 2023	1693741980	0	570	571	569
Sun Sep 03 19:53:07 2023	1693741987	0	570	571	570
Sun Sep 03 19:53:02 2023	1693741982	0	570	571	570
Sun Sep 03 19:53:05 2023	1693741985	0	571	571	570
Sun Sep 03 19:53:01 2023	1693741981	0	571	571	570
Sun Sep 03 19:53:02 2023	1693741982	0	571	571	570
Sun Sep 03 19:53:02 2023	1693741982	0	571	571	570
